dt,lineName,stationName,statusN,statusS
05/01/2015 14:15,EDSA,Taft Ave.,0,1
05/01/2015 14:30,EDSA,Taft Ave.,0,1
05/01/2015 14:45,EDSA,Taft Ave.,0,1
05/01/2015 15:00,EDSA,Taft Ave.,0,1
05/01/2015 15:15,EDSA,Taft Ave.,0,1
05/01/2015 15:30,EDSA,Taft Ave.,0,1
05/01/2015 15:45,EDSA,Taft Ave.,0,1
05/01/2015 16:00,EDSA,Taft Ave.,0,1
05/01/2015 16:15,EDSA,Taft Ave.,0,1
05/01/2015 16:30,EDSA,Taft Ave.,0,1
05/01/2015 16:45,EDSA,Taft Ave.,0,1
05/01/2015 17:00,EDSA,Taft Ave.,0,1
05/01/2015 17:15,EDSA,Taft Ave.,0,1
05/01/2015 17:30,EDSA,Taft Ave.,0,1
